	1	2	coeff
251	MA0650.1	HOXA13	-1.23259058824
417	MA0828.1	SREBF2(var.2)	-1.26503409001
122	MA0137.3	STAT1	-1.27330977194
453	MA0876.1	BSX	-1.28069077134
154	MA0258.1	ESR2	-1.2909940933
45	MA0052.3	MEF2A	-1.29467566263
164	MA0468.1	DUX4	-1.30005460426
406	MA0817.1	BHLHE23	-1.32847047367
393	MA0803.1	TBX15	-1.33854079481
353	MA0762.1	ETV2	-1.34033735857
286	MA0689.1	TBX20	-1.40658541783
522	MA1144.1	FOSL2::JUND	-1.40814485561
176	MA0478.1	FOSL2	-1.41556626147
220	MA0595.1	SREBF1	-1.41708928788
114	MA0124.1	NKX3-1	-1.41734330837
9	MA0017.2	NR2F1	-1.42075528076
234	MA0628.1	POU6F1	-1.43085720381
278	MA0679.1	ONECUT1	-1.50530515653
329	MA0737.1	GLIS3	-1.52350384198
146	MA0158.1	HOXA5	-1.58032695781
49	MA0058.2	MAX	-1.59905119555
330	MA0738.1	HIC2	-1.6348115041
198	MA0507.1	POU2F2	-1.63645634741
141	MA0155.1	INSM1	-1.67699385491
378	MA0788.1	POU3F3	-1.72187896502
6	MA0014.2	PAX5	-1.76328423645
309	MA0715.1	PROP1	-1.77824571528
94	MA0103.2	ZEB1	-1.80510239241
192	MA0497.1	MEF2C	-1.80794488439
60	MA0070.1	PBX1	-1.86904582788
391	MA0801.1	MGA	-1.87278924566
471	MA0903.1	HOXB3	-1.87304742468
348	MA0757.1	ONECUT3	-1.94014194476
343	MA0752.1	ZNF410	-1.948188962
302	MA0707.1	MNX1	-2.00731748384
86	MA0095.2	YY1	-2.01205324551
313	MA0719.1	RHOXF1	-2.04724484828
321	MA0729.1	RARA	-2.09510835313
290	MA0693.2	VDR	-2.49239950634
24	MA0033.1	FOXL1	-2.58694590757
404	MA0814.1	TFAP2C(var.2)	-2.96255730066
239	MA0637.1	CENPB	-3.54106139412
217	MA0528.1	ZNF263	-3.5712546194
